orig,dest
3266,21871
11459,11459
3276,3276
3276,4820
27858,31197
27858,27858
27868,31197
27868,27868
3282,4820
3282,3282
19697,29700
19697,19697
27894,29700
27894,31197
27894,31175
27894,27894
11521,11521
3335,13590
3335,14020
3335,17600
3335,13481
3335,13863
3335,17540
3335,15290
3335,18067
3335,16870
3335,14335
3335,3996
3335,3804
3335,3335
3335,6212
3335,3363
3335,6261
3335,3893
3335,17400
3335,14343
3335,16835
3335,16836
3335,3276
3335,4192
3335,6225
3335,4656
3335,5864
3335,3241
3335,5464
3335,3557
3335,5776
3335,3440
3335,6125
3335,4820
3335,5395
3335,4057
3335,14671
3342,3342
3342,29700
3342,31197
19732,19732
19732,21871
19732,21591
11554,21871
11554,11554
3363,16126
3363,3363
3363,4820
27956,27956
27956,27470
19782,19782
19782,21871
11596,11596
19794,19794
19794,21871
19794,21591
3421,16126
3421,3421
3423,3423
3423,27470
3424,3424
3440,3440
3440,4820
3440,4627
19826,19826
3451,4627
3451,3451
3451,31197
3455,4820
3455,3455
3455,4627
11649,18284
11649,21871
11649,11596
11649,11649
3469,4820
3469,3469
11681,11681
19884,19884
3515,3515
19923,19923
19923,21871
19924,19924
19928,19928
3557,3557
3557,4820
11750,11750
16978,18284
19975,19975
19975,21871
28168,28168
19990,19990
19990,21871
19990,21591
11802,11802
3625,4627
3625,3625
11833,17481
11849,18284
11849,17481
11849,17432
11849,11849
11849,11596
20045,21715
20045,21151
20045,19794
20045,19256
20045,21188
20045,19924
20045,9089
20045,21871
20045,20668
20045,8820
20045,19426
20045,20581
20045,20551
20045,19095
20045,19285
20045,21433
20045,21442
20045,21003
20045,21610
20045,20547
20045,20045
20045,19191
20045,20985
20045,19444
20045,19457
20045,19368
20045,21591
20045,18984
20045,19269
20045,19249
20045,21708
20045,20545
20045,10830
3665,4820
3665,4627
3665,3665
20065,20065
11883,18284
11883,17481
11883,17432
11883,11883
28275,28275
11892,11892
28281,28281
3711,3711
3712,3712
3713,3713
3713,4820
20104,20104
20104,21871
20104,21591
20106,29700
20106,20106
11921,21591
3739,3739
3740,3740
28317,30223
28317,28317
11939,11939
11939,17481
11939,21871
11940,11940
3752,4627
3752,3752
3753,4820
3753,4627
11947,17481
25204,27470
20163,20163
20163,31197
20163,31175
20163,21871
3781,3781
3783,3783
11980,4820
11980,31197
11980,18284
11980,17481
11980,17432
11983,11983
3793,3793
3793,17432
20182,20182
20182,21871
20182,21591
3801,3801
3801,4820
3801,4627
3804,3804
11998,18284
11998,17481
11998,17432
12000,12000
20196,20196
20196,21871
10009,10009
12007,16126
12007,18284
12007,17481
12007,17432
12007,12007
12007,21591
3818,3818
3821,3821
3824,3824
20217,20217
20217,21871
3835,4820
3835,3835
3835,29700
3835,31197
28417,28417
28417,21871
3842,3842
3842,31197
12039,17481
12039,12039
12040,17481
3851,16126
3851,3851
3851,4820
3851,4627
12045,18284
3859,3859
20245,20245
20245,18284
22489,22489
22489,31197
22489,21871
12059,17432
12059,12059
3873,4627
3873,3873
12066,18284
12066,12066
3882,3882
12083,12083
3893,16126
3893,3893
3893,4820
3893,4627
12089,17481
12089,12089
3898,3898
12091,18284
12091,12091
12091,17432
12091,21871
12096,18284
12096,12096
12096,17481
12096,17481
12098,17481
3908,3908
3908,3908
3908,3908
3908,3908
3913,3913
3913,31197
3917,3917
3928,4820
3928,3928
20317,31200
20317,20317
28512,28512
28512,30223
12132,12132
12140,12140
12142,18284
12142,17481
12142,17432
12142,12142
12145,17481
12145,17432
12145,12145
3959,4627
3959,3959
3966,3966
3966,31197
12167,18284
12167,17432
12167,21871
3981,3981
12175,18284
12175,17481
12175,17432
12175,12175
12184,12184
3996,16126
3996,3996
3996,4820
20382,20382
20382,21871
20382,9217
20383,20383
12955,12955
12955,21871
4004,4004
28582,30017
28582,26289
28582,25189
28582,23839
28582,22906
28582,23037
28582,26993
28582,24542
28582,25241
28582,22960
28582,30795
28582,27372
28582,25770
28582,28317
28582,25792
28582,28168
28582,23304
28582,24915
28582,23211
28582,25230
28582,24681
28582,23652
28582,24874
28582,24135
28582,25182
28582,24623
28582,23907
28582,23745
28582,23409
28582,28275
28582,24723
28582,23149
12201,16126
12201,12201
12201,11596
12207,18284
12207,12207
12207,12207
12207,18284
12207,12207
12207,12207
12207,17432
12207,21871
4018,4018
4024,4024
4025,4820
4025,4025
4025,4627
12221,17432
12222,21871
12224,17432
4036,4036
12230,12230
12230,17481
12233,12233
12233,17481
12238,12238
28629,30223
28629,28629
28629,29700
28629,31197
12248,17481
4057,4820
4057,4057
4058,4058
4071,16126
4071,4071
28656,28656
12276,18284
12276,12276
12276,17432
21161,21161
21161,21871
21161,21591
14335,16126
14335,14335
12285,12285
12287,18284
12287,17481
12291,17481
4100,4100
4108,4108
4112,4112
12305,12305
12313,18284
4128,4128
4156,4156
4159,4159
4159,4159
12353,18284
12353,12353
20547,21871
20547,20547
20547,21591
4167,4820
12362,12362
12362,18284
12362,17481
4180,4180
4180,31197
4189,4189
4192,4192
4192,4820
4192,4627
28773,30223
28773,31200
28773,29700
28773,31197
28773,21871
12398,18284
12398,17481
12398,12398
12398,9217
4207,4207
4208,4208
4208,29700
4211,4820
4211,4627
4211,4211
4212,4627
4212,4212
20598,20598
