osmid,igraph_id
65447865,627
65447945,628
65447952,629
65447979,630
65448801,631
65449434,632
65450313,633
65450881,634
65450928,635
65450940,636
65451054,637
65452566,638
65452576,639
65454720,640
65454735,641
65455173,642
65455864,643
65455873,644
65455876,645
65455912,646
65457278,647
65457383,648
65457388,649
65457393,650
65457406,651
65457991,652
65457998,653
65458228,654
65458242,655
65458246,656
65458872,657
65459010,658
65459332,659
65459346,660
65461798,661
65461988,662
65462211,663
65462243,664
65464222,665
65464933,666
65465446,667
65465455,668
65465514,669
65465533,670
65465550,671
65465556,672
65465672,673
65465698,674
65465884,675
65465893,676
65465897,677
65465900,678
65465908,679
65465914,680
65465923,681
65465931,682
65465933,683
65465949,684
65465951,685
65465962,686
65465982,687
65466580,688
65466803,689
65466809,690
65467588,691
65467591,692
65467593,693
65467597,694
65467600,695
65467602,696
65467604,697
65467606,698
65467807,699
65467889,700
65467900,701
65467944,702
65467948,703
65468003,704
65468021,705
65468158,706
65468410,707
65468440,708
65468448,709
65469146,710
65469240,711
65469243,712
65469248,713
65469268,714
65469271,715
65469274,716
65469288,717
65469318,718
65469805,719
65469900,720
65469902,721
65469913,722
65470524,723
65470526,724
65470535,725
65470595,726
65471188,727
65471228,728
65471240,729
65471283,730
65471284,731
65471701,732
65471704,733
65472139,734
65472292,735
65472298,736
65472308,737
65472320,738
65472338,739
65472340,740
65472357,741
65472378,742
65472938,743
65475080,744
65475084,745
65475170,746
65475205,747
65475216,748
65475229,749
65475239,750
65475243,751
65475258,752
65475264,753
65475266,754
65475688,755
65475700,756
65475703,757
65476338,758
65476873,759
65481453,760
65481463,761
65482356,762
65482585,763
65482592,764
65484137,765
65484138,766
65484144,767
65484149,768
65484158,769
65484159,770
65484176,771
65484242,772
65484294,773
65484821,774
65484832,775
65485254,776
65485266,777
65485477,778
65485482,779
65485490,780
65485505,781
65485955,782
65486129,783
65486358,784
65486504,785
65486577,786
65486664,787
65486953,788
65487479,789
65488419,790
65488782,791
65488797,792
65488806,793
65490856,794
65491586,795
65491588,796
65491597,797
65491603,798
65491610,799
65491616,800
65492629,801
65493199,802
65493342,803
65493351,804
65493817,805
65493823,806
65494012,807
65494043,808
65494258,809
65494322,810
65494334,811
65494849,812
65494863,813
65494869,814
65494883,815
65494922,816
65495239,817
65496297,818
65496303,819
65496312,820
65497659,821
65497678,822
65497695,823
65497700,824
65497712,825
65497721,826
65497739,827
65497755,828
65498285,829
65499898,830
65499904,831
65500188,832
65500228,833
65500241,834
65500263,835
65500266,836
65500269,837
65500274,838
65500278,839
65500290,840
65500291,841
65500293,842
65500296,843
65500302,844
65500305,845
65500310,846
65500327,847
65500330,848
65500336,849
65500340,850
65500363,851
65500480,852
65500750,853
65500754,854
65500844,855
65500855,856
65500858,857
65500859,858
65500863,859
65500866,860
65503370,861
65503390,862
65504530,863
65504551,864
65505732,865
65505740,866
65506901,867
65507221,868
65507625,869
65507913,870
65507919,871
65507924,872
65508999,873
65510844,874
65510857,875
65510858,876
65510880,877
65510894,878
65510903,879
65510919,880
65510947,881
65511284,882
65511299,883
65511302,884
65512384,885
65515240,886
65515263,887
65515285,888
65515846,889
65515875,890
65515880,891
65515920,892
65515926,893
65516424,894
65516653,895
65518106,896
65518203,897
65518264,898
65518266,899
65518287,900
