orig,dest,trips
13641,18067,1.0
13641,14335,1.0
13641,3804,1.0
13641,3335,1.0
13641,14343,1.0
13641,13723,3.0
13641,3801,1.0
13641,3241,1.0
13641,3557,1.0
13641,3440,1.0
13641,5611,1.0
13641,3928,1.0
13641,4633,1.0
13641,6119,1.0
13641,24757,1.0
13641,19602,1.0
13641,22540,1.0
13641,29391,1.0
13641,18562,1.0
13641,12459,1.0
13641,12501,1.0
13641,16554,1.0
13641,15225,1.0
13641,12664,1.0
13641,11940,1.0
13641,11947,1.0
13641,12471,1.0
13641,12096,1.0
13641,12441,1.0
13641,12359,1.0
13641,12677,1.0
13641,12089,1.0
13641,14440,1.0
13641,16580,1.0
13641,12398,1.0
13641,12466,1.0
13641,12702,1.0
13641,15592,1.0
13641,15616,1.0
13641,13214,1.0
13641,12879,2.0
13641,12935,1.0
13641,12942,1.0
13641,13001,1.0
13641,13139,1.0
13641,13033,1.0
13641,20196,1.0
13641,19072,1.0
13641,20793,1.0
13641,21871,1.0
13641,19426,1.0
13641,9646,1.0
13641,9487,1.0
13641,6593,1.0
13641,17754,1.0
13641,17702,1.0
13641,14656,1.0
13641,6584,1.0
13641,14708,2.0
13641,14608,1.0
13641,14668,1.0
13641,15833,1.0
16966,14171,1.0
16966,14211,3.0
16966,16768,2.0
16966,16787,5.0
16966,13428,2.0
16966,13892,1.0
16966,13889,2.0
16966,18136,2.0
16966,14036,1.0
16966,13714,1.0
16966,14172,2.0
16966,14097,2.0
16966,13934,2.0
16966,13579,3.0
16966,13795,2.0
16966,14124,1.0
16966,18011,1.0
16966,16521,1.0
16966,18011,3.0
16966,13597,3.0
16966,15994,4.0
16966,16959,4.0
16966,14182,4.0
16966,14048,5.0
16966,13799,5.0
16966,14047,2.0
16966,13584,2.0
16966,18010,3.0
16966,14084,3.0
16966,15641,2.0
16966,17997,2.0
16966,13342,2.0
16966,13962,2.0
16966,15368,2.0
16966,13757,1.0
16966,13588,3.0
16966,14054,1.0
16966,15302,4.0
16966,15301,2.0
16966,13587,3.0
16966,17982,3.0
16966,14260,1.0
16966,14288,5.0
16966,15297,5.0
16966,18006,3.0
16966,16353,2.0
16966,13832,2.0
16966,13937,1.0
16966,14197,2.0
16966,15933,2.0
16966,13737,1.0
16966,13978,4.0
16966,14025,4.0
16966,18171,4.0
16966,13790,3.0
16966,18007,4.0
16966,18411,3.0
16966,14146,8.0
16966,14228,3.0
16966,14023,4.0
16966,13605,5.0
16966,15667,6.0
