orig,dest,trips
65352429,65291247,2
65352429,2399950829,1
65352429,2399950825,1
65352429,1614214651,1
65352429,4353687911,1
65352429,665553804,1
65352429,65306124,1
65352429,315706881,1
65352429,648530371,1
65352429,65313107,1
65352429,258973935,1
65352429,2511971979,1
65352429,1711296815,1
65352429,65312877,1
65352429,65297593,1
65352429,65316711,1
65352429,65288277,1
65352429,65423908,1
65352429,65307757,1
65352429,436883689,1
65352429,65374502,1
65352429,65425948,1
65352429,4769165076,1
65352429,53047939,1
65352429,53092586,1
65352429,240469682,1
65352429,57850689,1
65352429,57817399,1
65352429,57907630,1
65352429,4993566559,1
65352429,57825484,1
65352429,57931235,1
65352429,506409908,1
65303529,65334120,1
65303529,65343958,1
65303529,65352337,2
65303529,65325032,1
65303529,65309522,1
65303529,915248218,3
65303529,911547144,1
65303529,65317565,1
65303529,65317542,1
65303529,4186454033,1
65303529,280836272,1
65303529,65328716,3
65303529,65307397,1
65303529,65319961,4
65303529,65295337,1
65303529,65337421,3
65303529,65312677,1
65303529,65337406,1
65303529,4019577207,2
65303529,4019577207,5
65303529,65317133,1
65303529,65296824,6
65303529,300781672,1
65303529,1249336037,5
65303529,65345305,6
65303529,65329133,8
65303529,65312695,4
65303529,65329125,5
65303529,4019294259,2
65303529,65333932,5
65303529,262263366,2
65303529,4008988541,3
65303529,65281338,3
65303529,65322190,1
65303529,4022970383,2
65303529,2392273472,2
65303529,258910938,2
65303529,258910950,2
65303529,65287360,1
65303529,65295450,3
65303529,65330054,3
65303529,258756007,3
65303529,258756003,1
65303529,65295420,3
65303529,3998115410,7
65303529,65361705,2
65303529,65368988,3
65303529,258482635,3
65303529,4017324918,5
65303529,259139108,3
65303529,420514907,1
65303529,65314192,1
65303529,65319968,1
65303529,295224575,3
65303529,65308300,2
65303529,65325374,1
65303529,65324344,3
65303529,65328181,8
65303529,4357170829,3
65303529,4018939473,3
65303529,65339305,7
65303529,65354081,2
65303529,65327923,4
65303529,65298353,6
65303529,295506085,3
65303529,65292574,1
65303529,1211594135,1
65303529,263133817,5
65303529,2642129723,4
65303529,65294323,1
65303529,65294289,2
65303529,65318663,3
65303529,65322310,6
65303529,65324849,5
65303529,65318612,8
65303529,65317406,5
65303529,4357170828,5
65303529,258968242,4
65303529,65314241,4
65303529,65296202,4
65303529,65320739,3
65303529,65300043,4
65303529,293818041,1
65303529,259394878,1
65303529,65320199,3
65303529,65313442,2
65303529,65317595,4
65303529,65317795,4
65303529,65317606,1
65303529,775298151,1
65303529,65291247,1
65303529,65291247,6
65303529,2399950829,4
65303529,358888595,3
65303529,65294323,3
65303529,1614214651,1
65303529,65314953,1
65303529,4353687911,1
65303529,665553804,3
65303529,65342266,1
65303529,315706881,2
65303529,65310244,3
65303529,65331336,1
65303529,65291433,2
65303529,65306706,2
65303529,1386837962,1
65303529,65291160,1
65303529,65301931,1
65303529,1378125457,1
65303529,65313107,1
65303529,65327574,1
65303529,297838768,2
65303529,2511971979,1
65303529,65342038,3
65303529,1707875334,1
65303529,65312877,1
65303529,65297593,1
65303529,420508886,1
65303529,258916758,4
65303529,65316711,1
65303529,65289538,1
65303529,258916761,2
65303529,65288277,1
65303529,315422377,2
65303529,4070650114,1
65303529,65423908,1
65303529,65423938,1
65303529,65358073,1
65303529,65444824,1
65303529,65307757,3
65303529,65422427,1
65303529,32927534,1
65303529,65394475,1
65303529,65376960,1
65303529,887603415,1
65303529,65442084,1
65303529,263019124,1
65303529,2676317139,1
65303529,65577971,1
65303529,258145476,1
65303529,53039391,1
65303529,2207812922,1
65303529,53017127,1
65303529,53090334,1
65303529,53097191,1
65303529,662377563,1
65303529,256181451,1
65303529,53130151,1
65303529,53024918,1
65303529,53025122,1
65303529,53091172,1
65303529,53041310,1
65303529,53088482,1
65303529,53081214,1
65303529,53131597,1
65303529,53041198,1
65303529,95187155,1
65303529,667522227,1
65303529,53085778,1
65303529,53090699,1
65303529,53141404,1
65303529,261735834,1
65303529,262105240,1
65303529,57929815,1
65303529,57802426,2
65303529,57817024,1
65303529,57817399,1
65303529,57839254,1
65303529,57892960,1
65303529,57850671,1
65303529,625740396,1
65303529,57815997,1
65303529,2177741149,1
65303529,4931631608,1
65303529,57902465,1
65303529,56108769,1
65303529,56037469,1
65303529,974278125,1
65303529,3036383471,1
65303529,2868546187,1
65303529,110402376,1
65303529,407087343,1
65303529,110424903,2
65303529,110381065,1
65303529,110410238,1
65303529,281670805,1
1271001343,65343958,1
1271001343,65352337,3
1271001343,890045132,2
