LINK,A,B,a0,a1,a2,a3,a4
41052,19137,19325,221.667081311,0.0,0.0,0.0,5.06783450641e-11
41053,19138,22018,105.503297252,0.0,0.0,0.0,2.41205526409e-11
41054,19138,19526,59.049401503,0.0,0.0,0.0,1.35000917931e-11
41055,19138,18887,66.8517824619,0.0,0.0,0.0,1.52839008829e-11
41056,19138,19137,61.2114831148,0.0,0.0,0.0,1.39943948593e-11
41057,19139,18394,3.78507549068,0.0,0.0,0.0,8.65357908249e-13
41058,19139,21957,1.62504360512,0.0,0.0,0.0,3.7152345796e-13
41059,19140,21243,2.90739313816,0.0,0.0,0.0,6.64698934192e-13
41060,19140,21070,0.999622228797,0.0,0.0,0.0,2.28537317969e-13
41061,19140,21246,40.3025456075,0.0,0.0,0.0,6.04538184113e-12
41062,19141,19776,1.30703739003,0.0,0.0,0.0,2.98819705081e-13
41063,19141,19112,51.0510902347,0.0,0.0,0.0,7.6576635352e-12
41064,19142,20698,1.27073462971,0.0,0.0,0.0,2.90520034226e-13
41065,19142,20700,8.35478603494,0.0,0.0,0.0,1.91010197415e-12
41066,19143,20209,0.983321232517,0.0,0.0,0.0,2.24810524124e-13
41067,19143,20885,2.08041660734,0.0,0.0,0.0,4.75632511967e-13
41068,19144,20210,1.55396948995,0.0,0.0,0.0,5.69080623762e-13
41069,19144,21182,13.6247404579,0.0,0.0,0.0,3.1149383763e-12
41070,19145,21238,0.923179925934,0.0,0.0,0.0,2.11060796967e-13
41071,19145,19188,60.8032041968,0.0,0.0,0.0,1.39010526284e-11
41072,19146,22028,1.57663559578,0.0,0.0,0.0,3.60456240461e-13
41073,19146,20239,17.6487118308,0.0,0.0,0.0,4.03491354157e-12
41074,19147,21899,285.449379674,0.0,0.0,0.0,1.04534684939e-10
41075,19147,18593,91.6953755419,0.0,0.0,0.0,2.09637346918e-11
41076,19147,19021,73.0905894311,0.0,0.0,0.0,1.67102399248e-11
41077,19148,21014,1.16234703018,0.0,0.0,0.0,2.65740061769e-13
41078,19148,21008,14.9181274,0.0,0.0,0.0,3.41063726567e-12
41079,19149,21159,1.7319798059,0.0,0.0,0.0,6.34269948449e-13
41080,19149,21170,12.9661275636,0.0,0.0,0.0,2.96436386914e-12
41081,19150,21159,28.2255921114,0.0,0.0,0.0,1.03365205486e-11
41082,19151,19152,12.3738841916,0.0,0.0,0.0,2.82896300676e-12
41083,19151,19387,77.4366916731,0.0,0.0,0.0,1.77038618366e-11
41084,19152,21316,10.8695722866,0.0,0.0,0.0,2.48504167503e-12
41085,19152,19153,9.377001667,0.0,0.0,0.0,2.14380467924e-12
41086,19153,19152,9.377001667,0.0,0.0,0.0,2.14380467924e-12
41087,19153,19154,53.2842985594,0.0,0.0,0.0,1.21820527113e-11
41088,19154,21315,0.623509218964,0.0,0.0,0.0,1.42548975529e-13
41089,19154,19155,12.2238873584,0.0,0.0,0.0,2.79467017796e-12
41090,19155,21315,11.6173588142,0.0,0.0,0.0,2.65600338688e-12
41091,19155,19156,107.797958172,0.0,0.0,0.0,2.46451664773e-11
41092,19156,19020,28.7573634309,0.0,0.0,0.0,6.57461441036e-12
41093,19156,19155,107.797958172,0.0,0.0,0.0,2.46451664773e-11
41094,19157,19158,106.477925774,0.0,0.0,0.0,2.43433758057e-11
41095,19157,21447,50.3032800323,0.0,0.0,0.0,1.15005212694e-11
41096,19158,20812,1.21255789489,0.0,0.0,0.0,2.77219454708e-13
41097,19158,19247,136.57646366,0.0,0.0,0.0,3.12246144627e-11
41098,19158,19157,106.477925774,0.0,0.0,0.0,2.43433758057e-11
41099,19159,19892,1.24523443123,0.0,0.0,0.0,2.84690084871e-13
41100,19159,19160,61.4556576493,0.0,0.0,0.0,1.40502189413e-11
41101,19160,19891,1.48670697028,0.0,0.0,0.0,3.39896426677e-13
41102,19160,19161,126.887687321,0.0,0.0,0.0,2.9009530709e-11
41103,19160,19480,36.2377638501,0.0,0.0,0.0,8.28481112257e-12
41104,19161,19889,1.56115895884,0.0,0.0,0.0,3.56917914688e-13
41105,19161,19273,20.7127298596,0.0,0.0,0.0,4.73542063548e-12
41106,19162,19896,1.58759735894,0.0,0.0,0.0,3.62962359155e-13
41107,19162,20489,295.153379391,0.0,0.0,0.0,6.74790533587e-11
41108,19162,19887,231.83642814,0.0,0.0,0.0,5.30032986146e-11
41109,19163,19609,0.594682788113,0.0,0.0,0.0,5.57515113856e-15
41110,19163,19898,7.22628595091,0.0,0.0,0.0,1.65210012595e-12
41111,19164,21372,1.19834113519,0.0,0.0,0.0,2.73969166711e-13
41112,19164,20746,46.4906585439,0.0,0.0,0.0,1.06288656936e-11
41113,19165,21375,0.989794250257,0.0,0.0,0.0,2.26290409295e-13
41114,19165,21129,27.3630192477,0.0,0.0,0.0,6.25583430447e-12
41115,19166,19074,307.166292945,0.0,0.0,0.0,7.02254899281e-11
41116,19166,21417,126.537038113,0.0,0.0,0.0,2.89293639946e-11
41117,19166,19355,51.4628274889,0.0,0.0,0.0,1.17656212823e-11
41118,19167,20514,37.7879852069,0.0,0.0,0.0,1.38383734889e-11
41119,19167,21802,114.248587498,0.0,0.0,0.0,4.18390823356e-11
41120,19167,19293,4.63843195439,0.0,0.0,0.0,1.69864451455e-12
41121,19168,21078,26.048579326,0.0,0.0,0.0,5.95532220529e-12
41122,19168,19058,49.6753308882,0.0,0.0,0.0,1.13569572218e-11
41123,19168,19203,26.3327129964,0.0,0.0,0.0,6.02028189217e-12
41124,19169,21078,3.10247227914,0.0,0.0,0.0,7.09298646351e-13
